layer_idx,weight_type,shape,eff_rank
0,W_V,256x2048,251.523012126592
0,W_K,256x2048,240.49800444663148
1,W_K,256x2048,213.47631024280147
1,W_V,256x2048,249.58349548155346
0,W_O,2048x2048,1706.0678633830862
0,W_Q,2048x2048,1483.1956610494906
1,W_O,2048x2048,1512.364697131686
1,W_Q,2048x2048,1299.0466263160733
2,W_K,256x2048,217.2681110861533
2,W_V,256x2048,249.24692238900982
0,W_gate,11008x2048,1720.9719425789629
0,W_up,11008x2048,1780.4824477483157
1,W_gate,11008x2048,1175.9951392005773
2,W_Q,2048x2048,1342.8601881138675
2,W_O,2048x2048,1468.0312185279938
3,W_K,256x2048,237.65758455403721
1,W_up,11008x2048,1013.5362701311745
3,W_V,256x2048,249.75695429762027
2,W_gate,11008x2048,1562.0324054707266
3,W_Q,2048x2048,1493.3964877059261
2,W_up,11008x2048,1523.1132575981155
3,W_O,2048x2048,1521.1122275216835
4,W_K,256x2048,230.73764257962875
4,W_V,256x2048,249.37911884994028
3,W_gate,11008x2048,1820.4687264906756
4,W_Q,2048x2048,1437.5700682555885
3,W_up,11008x2048,1814.1186314429872
4,W_O,2048x2048,1510.8870585042653
4,W_gate,11008x2048,1825.016123828617
5,W_K,256x2048,218.67562220669438
5,W_V,256x2048,245.7801523192005
4,W_up,11008x2048,1832.6221234912734
5,W_Q,2048x2048,1340.4949896153944
5,W_O,2048x2048,1414.4601956537065
5,W_gate,11008x2048,1892.007033215886
5,W_up,11008x2048,1915.1886550191016
6,W_K,256x2048,232.30816881069677
6,W_V,256x2048,252.05140257844496
6,W_O,2048x2048,1555.833558173731
6,W_Q,2048x2048,1453.062005957561
0,W_down,2048x11008,1956.8485885586408
6,W_gate,11008x2048,1917.1841950534197
6,W_up,11008x2048,1940.728895964948
7,W_K,256x2048,234.26374624012178
7,W_V,256x2048,248.43306055160699
1,W_down,2048x11008,1188.7073311798108
7,W_Q,2048x2048,1462.2137770595432
7,W_O,2048x2048,1497.978076253821
2,W_down,2048x11008,1588.1552894640884
7,W_gate,11008x2048,1924.653884914445
7,W_up,11008x2048,1951.4124589297808
3,W_down,2048x11008,1825.0100321902685
4,W_down,2048x11008,1867.4026929230924
5,W_down,2048x11008,1951.9122046165196
6,W_down,2048x11008,1961.3157549281173
7,W_down,2048x11008,1959.3350071668542
8,W_K,256x2048,232.92755041042673
8,W_V,256x2048,252.66486365761023
9,W_K,256x2048,237.28153349016287
9,W_V,256x2048,253.27704005404914
8,W_O,2048x2048,1548.7433019501705
9,W_O,2048x2048,1507.4609004430956
9,W_Q,2048x2048,1503.4581208229483
8,W_Q,2048x2048,1506.8514699260793
10,W_K,256x2048,229.46083575990406
10,W_V,256x2048,251.0149992495042
8,W_up,11008x2048,1967.073036377302
9,W_gate,11008x2048,1946.5946730271573
8,W_gate,11008x2048,1939.3912119406743
10,W_Q,2048x2048,1433.38647213226
9,W_up,11008x2048,1969.0015166589558
11,W_K,256x2048,229.75557128647108
10,W_O,2048x2048,1455.8000487890945
11,W_V,256x2048,252.1835232284455
10,W_up,11008x2048,1978.2147680709068
10,W_gate,11008x2048,1941.6461956275796
11,W_Q,2048x2048,1430.4538783083863
11,W_O,2048x2048,1402.4305857481716
12,W_K,256x2048,223.2616202510844
12,W_V,256x2048,253.4889625844172
11,W_gate,11008x2048,1933.54529747678
12,W_Q,2048x2048,1409.4665083740965
11,W_up,11008x2048,1977.3905076069766
12,W_O,2048x2048,1406.68882920409
12,W_gate,11008x2048,1914.4582078571532
13,W_K,256x2048,224.13629653673405
13,W_V,256x2048,245.5045421667523
13,W_Q,2048x2048,1372.2027744626234
12,W_up,11008x2048,1976.3479425891417
13,W_O,2048x2048,1450.1825071862677
13,W_up,11008x2048,1979.0941062901206
13,W_gate,11008x2048,1947.8147214015403
14,W_K,256x2048,232.5934739956231
14,W_V,256x2048,253.35797015686336
14,W_Q,2048x2048,1427.8309079528515
14,W_O,2048x2048,1444.141724844881
8,W_down,2048x11008,1965.0639857922095
14,W_gate,11008x2048,1938.91408736307
14,W_up,11008x2048,1978.0100855318094
15,W_K,256x2048,225.21534589585025
15,W_V,256x2048,249.04282136726744
15,W_Q,2048x2048,1365.348962548503
9,W_down,2048x11008,1954.6411912584076
10,W_down,2048x11008,1951.358490329736
15,W_O,2048x2048,1446.6670355051554
15,W_up,11008x2048,1972.3101359361797
15,W_gate,11008x2048,1945.1453508901989
11,W_down,2048x11008,1954.1780195048445
12,W_down,2048x11008,1952.284537831338
13,W_down,2048x11008,1953.4233872464006
14,W_down,2048x11008,1961.219428785844
15,W_down,2048x11008,1953.9497357898447
16,W_V,256x2048,253.40484896518495
16,W_K,256x2048,223.80447706703913
17,W_V,256x2048,249.08807032137554
17,W_K,256x2048,213.49636449181654
16,W_O,2048x2048,1502.4848793860747
16,W_Q,2048x2048,1427.6096511770288
17,W_O,2048x2048,1412.7777269957564
17,W_Q,2048x2048,1317.1123708926802
18,W_K,256x2048,225.84187599110683
18,W_V,256x2048,252.38743017449912
16,W_up,11008x2048,1968.5386967688667
16,W_gate,11008x2048,1938.151486689074
17,W_gate,11008x2048,1932.7442574055026
18,W_O,2048x2048,1460.007291224359
18,W_Q,2048x2048,1402.0648375840265
19,W_K,256x2048,210.6433293205758
19,W_V,256x2048,241.10288958983998
17,W_up,11008x2048,1963.4763861408887
18,W_gate,11008x2048,1930.2621290764994
18,W_up,11008x2048,1960.8958824013682
19,W_Q,2048x2048,1247.896093193594
19,W_O,2048x2048,1357.442814625948
20,W_K,256x2048,202.7359574929255
20,W_V,256x2048,249.16991936040628
20,W_Q,2048x2048,1254.1932044332953
19,W_gate,11008x2048,1933.7988603186411
20,W_O,2048x2048,1351.6794123635466
19,W_up,11008x2048,1958.5130099524233
21,W_Q,2048x2048,1324.4513866783134
21,W_K,256x2048,209.13358955963892
21,W_V,256x2048,250.09839004925502
20,W_gate,11008x2048,1923.7317706590563
20,W_up,11008x2048,1959.4788921452016
21,W_O,2048x2048,1389.7416560192028
21,W_gate,11008x2048,1924.0473500768965
21,W_up,11008x2048,1956.1917977284872
22,W_K,256x2048,217.79774488551874
22,W_V,256x2048,251.21281044743267
22,W_Q,2048x2048,1353.4924037052474
22,W_O,2048x2048,1420.5861189919326
16,W_down,2048x11008,1944.3330151608097
22,W_gate,11008x2048,1921.690929049607
22,W_up,11008x2048,1957.9368834802322
23,W_K,256x2048,228.21209555678823
23,W_V,256x2048,248.96125150609276
17,W_down,2048x11008,1942.531509095896
23,W_Q,2048x2048,1349.6699708635686
18,W_down,2048x11008,1945.7204968042768
23,W_O,2048x2048,1392.8165767113585
23,W_gate,11008x2048,1936.2218303765799
23,W_up,11008x2048,1961.2184936037681
19,W_down,2048x11008,1909.2090265615725
20,W_down,2048x11008,1958.0909363552596
21,W_down,2048x11008,1946.8211691190982
22,W_down,2048x11008,1937.6691233820723
23,W_down,2048x11008,1941.3425408846283
24,W_V,256x2048,254.1742699623949
24,W_K,256x2048,222.26080932497686
25,W_K,256x2048,217.31535851060212
25,W_V,256x2048,249.65253122470511
24,W_O,2048x2048,1436.819656106953
24,W_Q,2048x2048,1364.2341707624548
25,W_O,2048x2048,1384.452951811931
25,W_Q,2048x2048,1265.2685908027142
26,W_K,256x2048,219.62153831992194
26,W_V,256x2048,251.37097985558663
24,W_gate,11008x2048,1929.4247279284748
25,W_gate,11008x2048,1928.304467206411
24,W_up,11008x2048,1954.686862023951
26,W_Q,2048x2048,1355.0079947954025
26,W_O,2048x2048,1401.1171447368959
27,W_K,256x2048,209.70108204042324
27,W_V,256x2048,250.73495361673878
25,W_up,11008x2048,1953.8146416634997
26,W_gate,11008x2048,1944.9978811851886
27,W_Q,2048x2048,1325.9091687524726
26,W_up,11008x2048,1965.0283795247865
27,W_O,2048x2048,1349.3437188956514
28,W_K,256x2048,227.07288250199204
28,W_V,256x2048,251.69301818428886
27,W_gate,11008x2048,1941.8591525875886
27,W_up,11008x2048,1957.7062936461066
28,W_Q,2048x2048,1377.959065741856
28,W_O,2048x2048,1381.8523919199622
29,W_Q,2048x2048,1385.3385076086793
29,W_K,256x2048,224.58905462047485
29,W_V,256x2048,250.68211377895676
28,W_up,11008x2048,1955.7646288737112
28,W_gate,11008x2048,1938.1838333516428
29,W_O,2048x2048,1405.7085176304543
29,W_gate,11008x2048,1942.6408121730663
29,W_up,11008x2048,1959.7545454746196
30,W_K,256x2048,226.00045102001596
30,W_V,256x2048,249.6338420785269
30,W_Q,2048x2048,1368.203537609943
30,W_O,2048x2048,1444.9200756166742
24,W_down,2048x11008,1938.0350431736267
30,W_gate,11008x2048,1951.073784148717
30,W_up,11008x2048,1965.0977186407004
31,W_K,256x2048,213.72024478786517
31,W_V,256x2048,247.1654440024565
25,W_down,2048x11008,1944.5110323137376
31,W_Q,2048x2048,1310.6824591558966
26,W_down,2048x11008,1956.8999096282123
31,W_O,2048x2048,1362.3561194569888
31,W_gate,11008x2048,1939.2682209260988
31,W_up,11008x2048,1952.958641576276
27,W_down,2048x11008,1960.3125117110526
28,W_down,2048x11008,1947.3336673684694
29,W_down,2048x11008,1941.6406405412013
30,W_down,2048x11008,1948.3934437995993
31,W_down,2048x11008,1952.8338589675536
32,W_V,256x2048,234.10037785152693
32,W_K,256x2048,196.37094655574603
33,W_V,256x2048,230.13988611032724
33,W_K,256x2048,169.70163149577985
33,W_Q,2048x2048,1132.9600032139476
32,W_O,2048x2048,1524.4472860330422
32,W_Q,2048x2048,1241.6057326947448
33,W_O,2048x2048,1559.1168658988768
34,W_K,256x2048,234.71043567660072
34,W_V,256x2048,251.26228759902267
32,W_gate,11008x2048,1931.1514602888708
33,W_gate,11008x2048,1928.3026282328433
32,W_up,11008x2048,1940.4300110189647
34,W_Q,2048x2048,1464.879652926178
34,W_O,2048x2048,1416.3567187334143
35,W_K,256x2048,238.27259484812666
35,W_V,256x2048,252.4154727475362
33,W_up,11008x2048,1954.13422423501
35,W_Q,2048x2048,1521.8086968373016
34,W_gate,11008x2048,1956.4212762820455
34,W_up,11008x2048,1964.7023310828629
35,W_O,2048x2048,1502.2943182666365
35,W_gate,11008x2048,1957.7249638772462
35,W_up,11008x2048,1968.7292564884024
32,W_down,2048x11008,1937.016922606298
33,W_down,2048x11008,1961.330718636894
34,W_down,2048x11008,1963.8265780451266
35,W_down,2048x11008,1971.4742346155033
